iter	Passed	Remaining
0	0	377
1	0	330
2	1	347
3	1	340
4	2	337
5	2	336
6	3	335
7	3	331
8	3	324
9	4	315
10	4	312
11	4	305
12	5	302
13	5	301
14	5	293
15	6	291
16	6	296
17	6	297
18	7	295
19	7	293
20	8	292
21	8	291
22	8	291
23	9	293
24	9	293
25	10	294
26	10	295
27	10	293
28	11	294
29	11	294
30	12	297
31	12	296
32	13	297
33	13	295
34	13	295
35	14	293
36	14	293
37	14	292
38	15	293
39	15	293
40	16	292
41	16	294
42	17	294
43	17	295
44	17	295
45	18	295
46	18	296
47	19	295
48	19	295
49	20	295
50	20	294
51	20	294
52	21	294
53	21	294
54	22	295
55	22	295
56	23	294
57	23	294
58	23	293
59	24	293
60	24	293
61	25	294
62	25	293
63	26	293
64	26	292
65	27	295
66	27	296
67	28	295
68	28	296
69	29	296
70	29	297
71	30	298
72	30	298
73	30	297
74	31	297
75	31	296
76	32	296
77	32	296
78	33	295
79	33	295
80	33	295
81	34	294
82	34	293
83	35	293
84	35	293
85	35	292
86	36	292
87	36	291
88	37	291
89	37	291
90	38	292
91	38	291
92	39	291
93	39	290
94	39	290
95	40	290
96	40	290
97	41	290
98	41	290
99	42	289
100	42	289
101	43	288
102	43	288
103	44	288
104	44	288
105	44	287
106	45	287
107	45	286
108	46	286
109	46	286
110	47	285
111	47	285
112	47	284
113	48	284
114	48	284
115	49	283
116	49	283
117	49	283
118	50	282
119	50	282
120	51	282
121	51	282
122	52	282
123	52	281
124	53	281
125	53	281
126	54	280
127	54	280
128	54	279
129	55	279
130	55	278
131	56	278
132	56	277
133	56	277
134	57	276
135	57	276
136	58	275
137	58	275
138	59	275
139	59	274
140	59	274
141	60	273
142	60	273
143	61	272
144	61	272
145	62	272
146	62	271
147	62	270
148	63	270
149	63	269
150	63	268
151	64	268
152	64	267
153	65	267
154	65	266
155	65	265
156	66	265
157	66	264
158	66	264
159	67	263
160	67	263
161	68	262
162	68	261
163	68	261
164	69	260
165	69	260
166	70	259
167	70	259
168	70	258
169	71	257
170	71	257
171	71	256
172	72	255
173	72	255
174	73	254
175	73	254
176	73	253
177	74	253
178	74	252
179	74	252
180	75	251
181	75	251
182	76	250
183	76	250
184	76	249
185	77	249
186	77	248
187	77	247
188	78	247
189	78	246
190	79	246
191	79	245
192	79	244
193	80	244
194	80	244
195	81	243
196	81	243
197	81	242
198	82	242
199	82	241
200	82	241
201	83	240
202	83	239
203	83	239
204	84	238
205	84	238
206	84	237
207	85	237
208	85	236
209	86	236
210	86	235
211	86	235
212	87	234
213	87	234
214	88	233
215	88	233
216	88	233
217	89	232
218	89	232
219	90	231
220	90	231
221	90	230
222	91	230
223	91	229
224	91	229
225	92	228
226	92	228
227	93	227
228	93	227
229	93	227
230	94	226
231	94	226
232	95	225
233	95	225
234	95	224
235	96	224
236	96	224
237	97	223
238	97	223
239	98	222
240	98	222
241	98	222
242	99	221
243	99	221
244	100	221
245	100	220
246	101	220
247	101	220
248	101	219
249	102	219
250	102	219
251	103	218
252	103	218
253	103	217
254	104	217
255	104	216
256	105	216
257	105	215
258	105	215
259	106	214
260	106	214
261	106	213
262	107	213
263	107	213
264	108	212
265	108	212
266	108	211
267	109	211
268	109	210
269	110	210
270	110	209
271	110	209
272	111	209
273	111	208
274	111	208
275	112	207
276	112	207
277	113	206
278	113	206
279	113	205
280	114	205
281	114	204
282	114	204
283	115	203
284	115	203
285	116	203
286	116	202
287	117	202
288	117	202
289	117	201
290	118	201
291	118	200
292	119	200
293	119	199
294	119	199
295	120	198
296	120	198
297	120	197
298	121	197
299	121	196
300	121	196
301	122	196
302	122	195
303	123	195
304	123	194
305	123	194
306	124	193
307	124	193
308	124	192
309	125	192
310	125	191
311	125	191
312	126	190
313	126	190
314	127	189
315	127	189
316	127	189
317	128	188
318	128	188
319	128	187
320	129	187
321	129	187
322	130	186
323	130	186
324	130	185
325	131	185
326	131	184
327	131	184
328	132	183
329	132	183
330	133	182
331	133	182
332	133	182
333	134	181
334	134	181
335	134	180
336	135	180
337	135	179
338	135	179
339	136	178
340	136	178
341	136	177
342	137	177
343	137	177
344	138	176
345	138	176
346	138	175
347	139	175
348	139	174
349	140	174
350	140	174
351	140	173
352	141	173
353	141	172
354	141	172
355	142	171
356	142	171
357	142	170
358	143	170
359	143	170
360	144	169
361	144	169
362	144	168
363	145	168
364	145	167
365	145	167
366	146	166
367	146	166
368	146	165
369	147	165
370	147	164
371	147	164
372	148	163
373	148	163
374	148	163
375	149	162
376	149	162
377	149	161
378	150	161
379	150	160
380	150	160
381	151	159
382	151	159
383	151	159
384	152	158
385	152	158
386	153	157
387	153	157
388	154	157
389	155	157
390	155	157
391	155	156
392	156	156
393	156	155
394	157	155
395	157	155
396	157	154
397	158	154
398	158	153
399	159	153
400	159	153
401	159	152
402	160	152
403	160	151
404	160	151
405	161	150
406	161	150
407	161	150
408	162	149
409	162	149
410	162	148
411	163	148
412	163	147
413	163	147
414	164	146
415	164	146
416	164	145
417	165	145
418	165	145
419	166	144
420	166	144
421	166	143
422	167	143
423	167	143
424	168	142
425	168	142
426	168	142
427	169	141
428	169	141
429	170	140
430	170	140
431	170	140
432	171	139
433	171	139
434	172	138
435	172	138
436	172	138
437	173	137
438	173	137
439	174	136
440	174	136
441	174	136
442	175	135
443	175	135
444	176	134
445	176	134
446	176	134
447	177	133
448	177	133
449	178	132
450	178	132
451	178	132
452	179	131
453	179	131
454	180	131
455	180	130
456	181	130
457	181	130
458	182	129
459	182	129
460	183	129
461	183	128
462	183	128
463	184	127
464	184	127
465	185	127
